text,text_lower,label
the Institute for the Administration of Goods,the institute for the administration of goods,ORG
the Federal Government,the federal government,ORG
Institute,institute,ORG
Criminal Procedures,criminal procedures,ORG
• Organic Law of Federal Public Administration,• organic law of federal public administration,LAW
the Social Cabinet of the Presidency of,the social cabinet of the presidency of,ORG
the Plenary of the Chamber of Senators,the plenary of the chamber of senators,ORG
the Chamber of Deputies,the chamber of deputies,ORG
the Official Journal of the Federation,the official journal of the federation,ORG
UN,un,ORG
the Framework Agreement,the framework agreement,LAW
Mexico,mexico,GPE
the United Nations Office of Services,the united nations office of services,ORG
the National Palace,the national palace,ORG
UNOPS,unops,ORG
Mexico,mexico,GPE
the Mexican Government,the mexican government,ORG
Mexico,mexico,GPE
Los Pinos,los pinos,GPE
Mexico,mexico,GPE
the Ministry of Culture,the ministry of culture,ORG
Mexicans,mexicans,NORP
the Federal Public Administration,the federal public administration,ORG
the Organic Law of,the organic law of,LAW
the Federal Public Administration,the federal public administration,ORG
OECD,oecd,ORG
Sweden,sweden,GPE
Spain,spain,GPE
Ireland,ireland,GPE
Audit,audit,ORG
the Federal Public Administration,the federal public administration,ORG
• Surveillance,• surveillance,ORG
Mayan,mayan,NORP
OECD Countries,oecd countries,ORG
the System of Consolidated Contracting of the Public Sector Consolidation Mechanism Contracting Mechanism,the system of consolidated contracting of the public sector consolidation mechanism contracting mechanism,ORG
Fuente1 / Contract Submission of the Contract Submission: 07/31/2019,fuente1 / contract submission of the contract submission: 07/31/2019,ORG
the System of Consolidated Contracting of the Public Sector Consolidation Mechanism Contract Mechanism,the system of consolidated contracting of the public sector consolidation mechanism contract mechanism,ORG
Vida Contract,vida contract,ORG
07/12/2019,07/12/2019,PERSON
CFE,cfe,ORG
PEMEX,pemex,ORG
the Ministry of Finance and Public Credit,the ministry of finance and public credit,ORG
the Mexican Social Security Institute,the mexican social security institute,ORG
Safety Institute and Social Services of State Workers,safety institute and social services of state workers,ORG
Marina,marina,LOC
Petróleos Mexican Social Services,petróleos mexican social services,ORG
the United Nations Office of Projects Services,the united nations office of projects services,ORG
UNOPS,unops,ORG
the Group of Physicians,the group of physicians,ORG
Consolidated Purchase of Medications and Healing Material,consolidated purchase of medications and healing material,ORG
Millions of Pesos,millions of pesos,ORG
IMSS,imss,ORG
the Ministry of Health,the ministry of health,ORG
the Ministry of Finance and Public Credit,the ministry of finance and public credit,ORG
AAD,aad,ORG
the World Health Organization,the world health organization,ORG
Federal Executive,federal executive,ORG
the Federal Executive,the federal executive,ORG
Secretaries,secretaries,ORG
Undersecretarians,undersecretarians,NORP
the SHCP,the shcp,ORG
Officialía,officialía,PERSON
the Federal Public Administration,the federal public administration,ORG
State,state,ORG
Undersecretaries,undersecretaries,NORP
the Federal Public Administration,the federal public administration,ORG
the Organic Law of Federal Public Administration,the organic law of federal public administration,LAW
the Sectoral Ramos,the sectoral ramos,ORG
The Federal Government,the federal government,ORG
200 billion,200 billion,MONEY
the Federal Public Administration,the federal public administration,ORG
Total Savings Concept,total savings concept,ORG
Cancellations of Purchasing,cancellations of purchasing,ORG
Contracts,contracts,ORG
Pemex,pemex,ORG
IMSS,imss,ORG
ISSSTE,issste,ORG
Food and Service Controls,food and service controls,ORG
Federal Police 868 Social Readptation,federal police 868 social readptation,ORG
Consolidated Purchasing,consolidated purchasing,ORG
Surveillance,surveillance,ORG
the Ministry of Finance and,the ministry of finance and,ORG
Public Credit,public credit,ORG
the Federal Public Administration,the federal public administration,ORG
the Organic Law of Federal Public Administration,the organic law of federal public administration,LAW
the Legal Ministry of the Federal Executive,the legal ministry of the federal executive,ORG
Republican,republican,NORP
Mexico,mexico,GPE
Mexico,mexico,GPE
the Honorable Congress of the Union,the honorable congress of the union,ORG
Mexico,mexico,GPE
Turnó,turnó,GPE
the Federal Public Administration,the federal public administration,ORG
the Chamber of Senators,the chamber of senators,ORG
the Permanent Commission of H. Congress of the Union,the permanent commission of h. congress of the union,ORG
Finance and Public Credit,finance and public credit,ORG
Foreign Affairs,foreign affairs,ORG
Foreign Affairs,foreign affairs,ORG
Foreign Affairs,foreign affairs,ORG
the Supreme Court of Justice,the supreme court of justice,ORG
the Government Program,the government program,ORG
the Official Journal of the Federation (DOF,the official journal of the federation (dof,ORG
H. Congress of the Union,h. congress of the union,ORG
the Official Journal of the Federation Decree Importance,the official journal of the federation decree importance,ORG
the Organic Law of the General Prosecutor's Office,the organic law of the general prosecutor's office,LAW
Agency,agency,ORG
Senate,senate,ORG
Article 22,article 22,LAW
Mandate,mandate,PERSON
the Official Journal of the Decree Federation,the official journal of the decree federation,ORG
article 73,article 73,LAW
the Political Constitution of the United Mexican States,the political constitution of the united mexican states,LAW
Decree,decree,ORG
the Political Constitution of the United Mexican States,the political constitution of the united mexican states,LAW
the Constitutional Framework of,the constitutional framework of,ORG
the National Guard,the national guard,ORG
the Organic Law of the Judicial Power of the Federation,the organic law of the judicial power of the federation,LAW
the Federal Law of the Public Defender,the federal law of the public defender,LAW
the National Housing Fund for Workers,the national housing fund for workers,ORG
the Social Security Law,the social security law,ORG
the National Guard (DOF,the national guard (dof,ORG
the National Guard,the national guard,ORG
the Official Gazette of the Federation Decree Importance,the official gazette of the federation decree importance,WORK_OF_ART
Citizen Protection,citizen protection,ORG
the National Law on the,the national law on the,LAW
"the National Law of the Detention Registry (DOF 27, 2019","the national law of the detention registry (dof 27, 2019",LAW
the National Registry of Detentions,the national registry of detentions,ORG
the General Law of the National Public Security System,the general law of the national public security system,LAW
the National System of Information in Public Safety,the national system of information in public safety,ORG
the Political Constitution of the United Mexican States,the political constitution of the united mexican states,LAW
Cabinet,cabinet,ORG
H. Congress of the Union,h. congress of the union,ORG
Energy,energy,ORG
Mexican,mexican,NORP
the Federal Intelligence Unit,the federal intelligence unit,ORG
the Federal Procurator of the Consumer,the federal procurator of the consumer,ORG
• National Public Safety Strategy,• national public safety strategy,ORG
Security,security,ORG
Citizen Protection,citizen protection,ORG
the Plenary of the Senate of the Republic,the plenary of the senate of the republic,ORG
Establish,establish,NORP
the Federal Police and Elements of the Army,the federal police and elements of the army,ORG
Navy,navy,ORG
Mexico,mexico,GPE
the Chamber of Deputies,the chamber of deputies,ORG
the National Guard,the national guard,ORG
The Commission of Constitutional Points,the commission of constitutional points,ORG
Senate,senate,ORG
Security,security,ORG
Citizen Protection,citizen protection,ORG
Navy,navy,ORG
National Defense Secretaries,national defense secretaries,ORG
the National Guard,the national guard,ORG
State,state,ORG
Gender,gender,ORG
the Gender Equality Commission,the gender equality commission,ORG
the Chamber of Deputies,the chamber of deputies,ORG
the Commission National,the commission national,ORG
the National Institute of Women,the national institute of women,ORG
The Legal Ministry of the Federal Executive (CJEF,the legal ministry of the federal executive (cjef,ORG
the Article 89,the article 89,LAW
the Political Constitution of the United Mexican States,the political constitution of the united mexican states,LAW
Constitutional,constitutional,LAW
Laws 5 Decrects of Constitutional Reform 5 Decrees,laws 5 decrects of constitutional reform 5 decrees,ORG
LOAPF,loapf,ORG
the Federal Executive,the federal executive,ORG
the Political Constitution of the United Mexican States,the political constitution of the united mexican states,LAW
the Plenary Chamber of Senators,the plenary chamber of senators,ORG
the Chamber of Deputies,the chamber of deputies,ORG
Article 19 of the Political Constitution of the United Mexican States,article 19 of the political constitution of the united mexican states,LAW
Subject,subject,GPE
Article 19,article 19,LAW
Legal Ministry of the Federal Executive,legal ministry of the federal executive,ORG
Proposals,proposals,GPE
the Holder of the Federal Executive,the holder of the federal executive,ORG
the Executive Power,the executive power,ORG
the Federal Executive Initiative Revenue Act,the federal executive initiative revenue act,ORG
the Federation for the 2019,the federation for the 2019,ORG
the Executive Power,the executive power,ORG
the Political Constitution of the United Mexican States,the political constitution of the united mexican states,LAW
the Federal Executive Initiative Importance Reforms,the federal executive initiative importance reforms,ORG
the Federal Civil Code,the federal civil code,ORG
the Standing Commission,the standing commission,ORG
the Law on Savings Systems for Retirement,the law on savings systems for retirement,ORG
the Standing Commission,the standing commission,ORG
the Mexican Army,the mexican army,ORG
Air Force,air force,ORG
the Chamber of Senators,the chamber of senators,ORG
The Federal Executive,the federal executive,ORG
Amparo Trials 213 Criminal Affairs 2 Constitutional Controversies,amparo trials 213 criminal affairs 2 constitutional controversies,ORG
the Federal Executive,the federal executive,ORG
the Federal Telecommunications Institute,the federal telecommunications institute,ORG
"the National Institute of Transparency, Access to Information and Protection of Personal Data","the national institute of transparency, access to information and protection of personal data",ORG
the National Electoral Institute,the national electoral institute,ORG
the National Institute of Statistics,the national institute of statistics,ORG
Geography,geography,PERSON
the Federal Commission of Economic Competition,the federal commission of economic competition,ORG
the Bank of Mexico,the bank of mexico,ORG
the National Commission of Human Rights,the national commission of human rights,ORG
Office of the Republic,office of the republic,ORG
National Electoral Institute,national electoral institute,ORG
Mexico,mexico,GPE
The Federal Executive,the federal executive,ORG
Decalogue of Actions,decalogue of actions,ORG
the Justice System,the justice system,ORG
Federal Public Administration,federal public administration,ORG
Mexico,mexico,GPE
Decree,decree,ORG
DOF,dof,GPE
Article 39,article 39,LAW
the Executive Branch,the executive branch,ORG
the Federal Criminal Code,the federal criminal code,ORG
the General Law of Administrative Responsibilities,the general law of administrative responsibilities,LAW
Mexico,mexico,GPE
Federal Republican,federal republican,ORG
the Legal and Expanded Cabinet,the legal and expanded cabinet,ORG
Undersecretarians,undersecretarians,NORP
the Federal Delegates,the federal delegates,ORG
the Declaration of Patrimonial Modification,the declaration of patrimonial modification,EVENT
State,state,ORG
Scientove Declarations,scientove declarations,ORG
the National Defense,the national defense,ORG
Secretariat,secretariat,ORG
Navy,navy,ORG
281,281,PRODUCT
Public Credit,public credit,ORG
the Environment and Natural Resources,the environment and natural resources,ORG
Secretariat of,secretariat of,ORG
358 100.0,358 100.0,PRODUCT
Health,health,ORG
666 100.0,666 100.0,PRODUCT
Secretariat of Public Service,secretariat of public service,ORG
Mexico,mexico,GPE
the Coordinating Committee of the National Anti-Corruption System,the coordinating committee of the national anti-corruption system,ORG
Committee,committee,ORG
the Judicial Power,the judicial power,ORG
the Political Constitution of the United Mexican States,the political constitution of the united mexican states,LAW
the General Law of Administrative Responsibilities,the general law of administrative responsibilities,LAW
Committee,committee,PRODUCT
Bidders,bidders,ORG
the Public Service,the public service,ORG
OIC,oic,ORG
the Secretariat of Public Service,the secretariat of public service,ORG
"Table Actions on Ethics, Public Integrity and Prevention of Conflicts of Interests!","table actions on ethics, public integrity and prevention of conflicts of interests!",ORG
Ethics and Public Integrity,ethics and public integrity,ORG
the Public Function,the public function,ORG
OIC,oic,ORG
Mexico,mexico,GPE
State,state,ORG
Mexico,mexico,GPE
I. Eradicate,i. eradicate,ORG
the Government of Mexico,the government of mexico,ORG
the Federal Public Administration,the federal public administration,ORG
Mexico,mexico,GPE
the Transparency Committee,the transparency committee,ORG
Citizen Protection (SSPC,citizen protection (sspc,ORG
the Anti-Corruption and Open Government,the anti-corruption and open government,ORG
Government,government,ORG
the Secretariat of Security,the secretariat of security,ORG
Citizen Protection (SSPC,citizen protection (sspc,ORG
the Consultative and Coordination Technical Committee,the consultative and coordination technical committee,ORG
Programming,programming,ORG
II Ensuring,ii ensuring,ORG
Labor,labor,ORG
Social Secretariat,social secretariat,ORG
"the ""Young Building the Future","the ""young building the future",WORK_OF_ART
Federal Police,federal police,ORG
Federal Protection Service,federal protection service,ORG
the National Commission of Human Rights (CNDH,the national commission of human rights (cndh,ORG
the Marina Secretariat,the marina secretariat,LOC
CNDH,cndh,ORG
the International Committee of the Red Cross,the international committee of the red cross,ORG
CNDH,cndh,ORG
CNDH,cndh,ORG
the Center for Upper Naval Studies,the center for upper naval studies,ORG
CNDH,cndh,ORG
the National Council,the national council,ORG
Troop,troop,ORG
CNDH,cndh,ORG
SEDENA,sedena,ORG
the General Law of Victims,the general law of victims,LAW
the Regional Delegation of the International Committee of the Red Cross,the regional delegation of the international committee of the red cross,ORG
Central America,central america,LOC
Cuba,cuba,GPE
Geneva Convention,geneva convention,FAC
"the ""International Event Program","the ""international event program",EVENT
La Sedena,la sedena,FAC
the Military Justice Service,the military justice service,ORG
"the ""Masters Human Rights and International Humanitarian Law at","the ""masters human rights and international humanitarian law at",ORG
the American University Washington College of Law,the american university washington college of law,ORG
"Washington, DC","washington, dc",GPE
USA,usa,GPE
Professional Visits,professional visits,WORK_OF_ART
San José,san josé,GPE
Costa Rica,costa rica,GPE
Mexico,mexico,GPE
Democratic,democratic,NORP
Tools,tools,ORG
the Federal Public Administration,the federal public administration,ORG
Ethics of Public Server,ethics of public server,ORG
"the Official Gazette of the Federation, Agreement","the official gazette of the federation, agreement",WORK_OF_ART
the Federal Government,the federal government,ORG
the 307 Ethics Committees and Conflict Prevention,the 307 ethics committees and conflict prevention,ORG
State,state,ORG
Guide for the Preparation and Update of the Code of Conduct of the Dependencies and Entities of the Federal Public Administration,guide for the preparation and update of the code of conduct of the dependencies and entities of the federal public administration,WORK_OF_ART
State,state,ORG
"the Dependencies, Entities and Productive Companies","the dependencies, entities and productive companies",ORG
State,state,ORG
Las,las,GPE
Mexico,mexico,GPE
the National Addiction Prevention Strategy,the national addiction prevention strategy,ORG
La Pazó,la pazó,PERSON
Gender,gender,ORG
the Federal Government,the federal government,ORG
• The National Commission against Addictions,• the national commission against addictions,ORG
Mexico,mexico,GPE
Health,health,ORG
the Mexican Observatory of Drugs,the mexican observatory of drugs,ORG
ComosCucharte,comoscucharte,PRODUCT
JumpPorlapaz,jumpporlapaz,ORG
the International Day,the international day,EVENT
The National Commission,the national commission,ORG
Primary,primary,PERSON
the Attention Unit,the attention unit,ORG
• The National Commission against Addictions,• the national commission against addictions,ORG
"the ""National Strategy for the Prevention of Alcoholic Beverages In Minors","the ""national strategy for the prevention of alcoholic beverages in minors",ORG
Visits,visits,NORP
"the National Alcoholimetry Program ""Drive","the national alcoholimetry program ""drive",ORG
SAW,saw,ORG
the Territorial Coordination Strategy,the territorial coordination strategy,ORG
the Construction of Peace,the construction of peace,ORG
"Sedena, Semar","sedena, semar",ORG
State Police,state police,ORG
the Three Government Orders,the three government orders,ORG
Mexico,mexico,GPE
Hidalgo,hidalgo,GPE
Jalisco,jalisco,GPE
Veracruz,veracruz,GPE
"Querétaro, Tamaulipas","querétaro, tamaulipas",ORG
Guanajuato,guanajuato,PERSON
Nuevo León,nuevo león,PERSON
Puebla,puebla,GPE
Mexico City,mexico city,GPE
Mexican,mexican,NORP
the National Defense,the national defense,ORG
Marina,marina,LOC
the National Registry of Penitentiary Information,the national registry of penitentiary information,ORG
the Penitentiary Social Complex,the penitentiary social complex,ORG
the Penitentiary System,the penitentiary system,ORG
"""Water Walls","""water walls",WORK_OF_ART
José Reviewer,josé reviewer,PERSON
SEMARNAT,semarnat,ORG
the Federal Center for Social Rehabout (Cefee,the federal center for social rehabout (cefee,ORG
Ramos Arizpe,ramos arizpe,PERSON
the Federal Psychosocial Rehabilitation Center,the federal psychosocial rehabilitation center,ORG
Morelos,morelos,ORG
Cefee 8 Guasave,cefee 8 guasave,ORG
the State of Social Rehabilitation,the state of social rehabilitation,GPE
El Castillo Mazatlán,el castillo mazatlán,ORG
the Federal Public Ministry,the federal public ministry,ORG
The Government of Mexico,the government of mexico,WORK_OF_ART
State,state,ORG
Mexico,mexico,GPE
the National Intelligence Center,the national intelligence center,ORG
Disadence,disadence,PERSON
the Organic Law of,the organic law of,LAW
the Federal Public Administration,the federal public administration,ORG
the National Research and Safety Center,the national research and safety center,ORG
The National Intelligence Center,the national intelligence center,ORG
the Secretariat of Safety and Citizen Protection (SSPC,the secretariat of safety and citizen protection (sspc,ORG
the Mexican State,the mexican state,ORG
the National Development Plan 2019-2024,the national development plan 2019-2024,ORG
the National Public Safety Strategy 2018-2024,the national public safety strategy 2018-2024,ORG
CNI,cni,ORG
the National Agenda of Risks,the national agenda of risks,ORG
the National Security Council,the national security council,ORG
the National Security Council,the national security council,ORG
the Bicameral National Security Commission,the bicameral national security commission,ORG
the Honorable Union Congress,the honorable union congress,ORG
Aguascalientes,aguascalientes,GPE
Coahuila,coahuila,GPE
Mexico,mexico,GPE
Guanajuato,guanajuato,GPE
Nuevo León,nuevo león,PERSON
Querétaro,querétaro,GPE
Tlaxcala,tlaxcala,GPE
Zacatecas,zacatecas,GPE
Guatemala,guatemala,GPE
Honduras,honduras,GPE
El Salvador,el salvador,GPE
Mexico,mexico,GPE
the United States of America,the united states of america,GPE
Central America,central america,LOC
Mexico,mexico,GPE
the Convention on Chemical Weapons,the convention on chemical weapons,ORG
Annual Declaration of Activities,annual declaration of activities,WORK_OF_ART
the Organization for the Prohibition of Chemical Weapons,the organization for the prohibition of chemical weapons,ORG
SEDENA,sedena,ORG
"the ""Strategic Information Estimate 2019","the ""strategic information estimate 2019",LAW
the Mexican State,the mexican state,ORG
The Naval Intelligence Unit,the naval intelligence unit,ORG
States,states,GPE
the National Fund for Tourism (Fonatur,the national fund for tourism (fonatur,ORG
​​15 kilometers,​​15 kilometers,QUANTITY
Chiapas,chiapas,GPE
Campeche,campeche,ORG
Yucatán,yucatán,ORG
Chiapas,chiapas,GPE
Campeche,campeche,ORG
Yucatán,yucatán,ORG
Quintana Roo,quintana roo,PERSON
"10,679 square kilometers","10,679 square kilometers",QUANTITY
Mexico,mexico,GPE
the Honorable Congress of the Union,the honorable congress of the union,ORG
the Organic Law of the General Prosecutor's Office of the Republic,the organic law of the general prosecutor's office of the republic,LAW
the Political Constitution of the United Mexican States,the political constitution of the united mexican states,LAW
article 19 of the Political Constitution of the United Mexican States,article 19 of the political constitution of the united mexican states,LAW
the National Guard Law,the national guard law,ORG
the National Law on the,the national law on the,LAW
the National Law of the Detention Registry,the national law of the detention registry,LAW
the General Law of the National Public Security System,the general law of the national public security system,LAW
"the Organization, Structure and Operation of the National Guard","the organization, structure and operation of the national guard",ORG
Security,security,ORG
Citizen Protection Secretariat,citizen protection secretariat,ORG
The School of Intelligence for National Security (ESISEN,the school of intelligence for national security (esisen,ORG
La Esisen,la esisen,FAC
Postgraduate,postgraduate,ORG
the Federal Public Administration,the federal public administration,ORG
the Secretariat of Public Service,the secretariat of public service,ORG
the Center for Naval Studies,the center for naval studies,ORG
La Esisen,la esisen,FAC
the Master's Degree,the master's degree,ORG
National Security,national security,ORG
the Portal of the National Security Report1,the portal of the national security report1,ORG
the Information Information and Exchange,the information information and exchange,ORG
The National Registry of Public Safety Personnel,the national registry of public safety personnel,ORG
Public Safety and Procurement Institutions,public safety and procurement institutions,ORG
Fingerprint Registration,fingerprint registration,PERSON
FRAGMENT FRAGMENT,fragment fragment,EVENT
Citizen,citizen,ORG
the National Guard,the national guard,ORG
Aspects,aspects,ORG
Navy,navy,ORG
Mexico,mexico,GPE
National Defense,national defense,ORG
Marine,marine,NORP
Mexicans,mexicans,NORP
the National Defense (Sedena) Modernizes,the national defense (sedena) modernizes,ORG
Transformation and Modernization of the Military Industry,transformation and modernization of the military industry,WORK_OF_ART
SEDENA,sedena,ORG
La Celló,la celló,WORK_OF_ART
East,east,LOC
the Marina Secretariat,the marina secretariat,LOC
the Aeronaval Fleet,the aeronaval fleet,ORG
the Federal Police,the federal police,ORG
the Ship Substitution Program,the ship substitution program,ORG
Oceanic Surveillance,oceanic surveillance,ORG
Jaliscó,jaliscó,GPE
Helmet,helmet,NORP
Navy,navy,ORG
"Tampico, Tamaulipas","tampico, tamaulipas",ORG
Marina,marina,LOC
Salina Cruz,salina cruz,GPE
San Luis Carpin,san luis carpin,GPE
the Naval University,the naval university,ORG
the Cybersecurity Unit,the cybersecurity unit,ORG
General Naval Hospital,general naval hospital,ORG
Health Sciences,health sciences,ORG
Building of the Institute of Strategic Research of the,building of the institute of strategic research of the,ORG
Navy,navy,ORG
Mexico,mexico,GPE
Mexico,mexico,GPE
Mexico Navy,mexico navy,ORG
San José Chiapa,san josé chiapa,GPE
Advanced Naval Station,advanced naval station,ORG
San Felipe,san felipe,GPE
Baja,baja,GPE
the Center for Naval Studies,the center for naval studies,ORG
the General Naval Hospital,the general naval hospital,ORG
Mexico City,mexico city,GPE
the Maritime Authority,the maritime authority,ORG
the Official Journal of the Federation (CCTM,the official journal of the federation (cctm,ORG
Campeche,campeche,ORG
the Specific Convention of Semar-Pemex Exploration and Production Collaboration,the specific convention of semar-pemex exploration and production collaboration,ORG
Campeche,campeche,ORG
the Unit of Port and Maritime Affairs,the unit of port and maritime affairs,ORG
Ló to,ló to,WORK_OF_ART
Port Captainias and Naval Units,port captainias and naval units,ORG
Army,army,ORG
Air Force,air force,ORG
Navy,navy,ORG
the School of Engineers of the Navy,the school of engineers of the navy,ORG
"Logistics, Naval Mechanical Engineer","logistics, naval mechanical engineer",FAC
"Sedena 128,221","sedena 128,221",PERSON
"Semar 22,050","semar 22,050",PERSON
"Sedena 102,590","sedena 102,590",ORG
La Signa,la signa,PERSON
29.6 million kilometers,29.6 million kilometers,QUANTITY
28 million kilometers,28 million kilometers,QUANTITY
1.6 million kilometers,1.6 million kilometers,QUANTITY
338.6 thousand nautical miles,338.6 thousand nautical miles,QUANTITY
Aircraft,aircraft,ORG
1.6 million nautical miles,1.6 million nautical miles,QUANTITY
1.1 million kilometers,1.1 million kilometers,QUANTITY
Marine,marine,NORP
Mexican,mexican,NORP
Mexican,mexican,NORP
Easter 2019,easter 2019,PERSON
"Reynosa, Tamaulipas","reynosa, tamaulipas",ORG
SEMAR,semar,ORG
the Mexican Caribbean,the mexican caribbean,ORG
Quintana Roo,quintana roo,PERSON
152.85 tonnes,152.85 tonnes,QUANTITY
"26,213 tons","26,213 tons",QUANTITY
Quintana Roo,quintana roo,PERSON
Navy,navy,ORG
Central America,central america,LOC
Salvador,salvador,GPE
Honduras,honduras,GPE
Guatemala,guatemala,GPE
Hostels,hostels,ORG
Ciudad Hidalgo,ciudad hidalgo,GPE
Chiapas,chiapas,GPE
Tijuana,tijuana,GPE
Baja,baja,GPE
California,california,GPE
Mexico City,mexico city,GPE
La Sedena,la sedena,FAC
PEMEX) Tax Administration Service,pemex) tax administration service,ORG
Federal Commission of Electricity,federal commission of electricity,ORG
National Water Commission,national water commission,ORG
National Natural Gas Control Center,national natural gas control center,ORG
Federal Revenue Bridges,federal revenue bridges,ORG
Related Services,related services,ORG
National Institute of Nuclear Research and Airports and Auxiliary Services,national institute of nuclear research and airports and auxiliary services,ORG
Navy,navy,ORG
Mexico,mexico,GPE
State,state,ORG
Pemex,pemex,ORG
CFE,cfe,ORG
Nitrogen,nitrogen,ORG
Cantarell SA,cantarell sa,ORG
"13,201 nautical miles","13,201 nautical miles",QUANTITY
"6,997 nautical miles","6,997 nautical miles",QUANTITY
"313,382 kilometers","313,382 kilometers",QUANTITY
Navy,navy,ORG
Mexico,mexico,GPE
