text,text_lower,lemma_lower,part_of_speech
new,new,new,ADJ
establishes,establishes,establishe,NOUN
April,april,april,PROPN
Guide,guide,guide,PROPN
Preparation,preparation,preparation,PROPN
Update,update,update,PROPN
Code,code,code,PROPN
Conduct,conduct,conduct,PROPN
Entities,entities,entities,PROPN
Federal,federal,federal,PROPN
Public,public,public,PROPN
Administration,administration,administration,PROPN
published,published,publish,VERB
electronically,electronically,electronically,ADV
productive,productive,productive,ADJ
companies,companies,company,NOUN
State,state,state,PROPN
served,served,serve,VERB
frame,frame,frame,NOUN
reference,reference,reference,NOUN
guide,guide,guide,VERB
elaboration,elaboration,elaboration,NOUN
respective,respective,respective,ADJ
code,code,code,NOUN
conduct,conduct,conduct,NOUN
observe,observe,observe,VERB
public,public,public,ADJ
servants,servants,servant,NOUN
public,public,public,ADJ
transparency,transparency,transparency,NOUN
legality,legality,legality,NOUN
promoted,promoted,promote,VERB
APF,apf,apf,PROPN
extended,extended,extended,ADJ
cabinet,cabinet,cabinet,NOUN
Undersecretarios,undersecretarios,undersecretarios,PROPN
Federal,federal,federal,PROPN
delegates,delegates,delegate,NOUN
achieved,achieved,achieve,VERB
time,time,time,NOUN
patrimonial,patrimonial,patrimonial,ADJ
interesting,interesting,interesting,ADJ
declarations,declarations,declaration,NOUN
addition,addition,addition,NOUN
surveillance,surveillance,surveillance,NOUN
control,control,control,NOUN
bodies,bodies,body,NOUN
procured,procured,procure,VERB
dependencies,dependencies,dependency,NOUN
entities,entities,entity,NOUN
diffuse,diffuse,diffuse,VERB
comply,comply,comply,VERB
principles,principles,principle,NOUN
ordinances,ordinances,ordinance,NOUN
General,general,general,PROPN
Law,law,law,PROPN
Administrative,administrative,administrative,PROPN
Responsibilities,responsibilities,responsibilities,PROPN
Surveillance,surveillance,surveillance,NOUN
internal,internal,internal,ADJ
control,control,control,NOUN
strengthened,strengthened,strengthen,VERB
agencies,agencies,agency,NOUN
entities,entities,entity,NOUN
APF,apf,apf,PROPN
internal,internal,internal,ADJ
control,control,control,NOUN
ICO,ico,ico,PROPN
bodies,bodies,body,NOUN
units,units,unit,NOUN
responsibilities,responsibilities,responsibility,NOUN
public,public,public,ADJ
management,management,management,NOUN
promoted,promoted,promote,VERB
integrity,integrity,integrity,NOUN
government,government,government,NOUN
Previously,previously,previously,ADV
organs,organs,organ,NOUN
depended,depended,depend,VERB
dependencies,dependencies,dependency,NOUN
operated,operated,operate,VERB
creating,creating,create,VERB
possible,possible,possible,ADJ
conflict,conflict,conflict,NOUN
interest,interest,interest,NOUN
auditor,auditor,auditor,NOUN
audited,audited,audit,VERB
administration,administration,administration,NOUN
OIC,oic,oic,PROPN
personnel,personnel,personnel,NOUN
process,process,process,NOUN
transferred,transferred,transfer,VERB
join,join,join,VERB
Secretariat,secretariat,secretariat,PROPN
Public,public,public,PROPN
Service,service,service,PROPN
SFP,sfp,sfp,PROPN
maintain,maintain,maintain,VERB
greater,greater,great,ADJ
independence,independence,independence,NOUN
monitor,monitor,monitor,VERB
compliance,compliance,compliance,NOUN
law,law,law,NOUN
December,december,december,PROPN
June,june,june,PROPN
transferred,transferred,transfer,VERB
SFP,sfp,sfp,PROPN
agreements,agreements,agreement,NOUN
administration,administration,administration,NOUN
finance,finance,finance,NOUN
units,units,unit,NOUN
IOC,ioc,ioc,PROPN
State,state,state,PROPN
Secretariats,secretariats,secretariats,PROPN
combat,combat,combat,VERB
causes,causes,cause,NOUN
effects,effects,effect,NOUN
corruption,corruption,corruption,NOUN
Government,government,government,PROPN
Mexico,mexico,mexico,PROPN
undertaken,undertaken,undertake,VERB
campaign,campaign,campaign,NOUN
abate,abate,abate,VERB
lag,lag,lag,NOUN
complaints,complaints,complaint,NOUN
complaint,complaint,complaint,NOUN
procedures,procedures,procedure,NOUN
administrative,administrative,administrative,ADJ
responsibilities,responsibilities,responsibility,NOUN
public,public,public,ADJ
servants,servants,servant,NOUN
sanctions,sanctions,sanction,NOUN
suppliers,suppliers,supplier,NOUN
contractors,contractors,contractor,NOUN
shares,shares,share,NOUN
Available,available,available,ADJ
site,site,site,NOUN
December,december,december,PROPN
June,june,june,PROPN
following,following,following,ADJ
stand,stand,stand,NOUN
complaints,complaints,complaint,NOUN
received,received,receive,VERB
corruption,corruption,corruption,NOUN
administrative,administrative,administrative,ADJ
faults,faults,fault,NOUN
APF,apf,apf,PROPN
investigations,investigations,investigation,NOUN
completed,completed,complete,VERB
remaining,remaining,remain,VERB
open,open,open,ADJ
represents,represents,represent,VERB
increase,increase,increase,NOUN
number,number,number,NOUN
complaints,complaints,complaint,NOUN
received,received,receive,VERB
period,period,period,NOUN
December,december,december,PROPN
June,june,june,PROPN
citing,citing,cite,VERB
examples,examples,example,NOUN
investigations,investigations,investigation,NOUN
related,related,relate,VERB
theft,theft,theft,NOUN
hydrocarbons,hydrocarbons,hydrocarbon,NOUN
Possible,possible,possible,ADJ
irregularities,irregularities,irregularity,NOUN
construction,construction,construction,NOUN
new,new,new,ADJ
International,international,international,PROPN
Airport,airport,airport,PROPN
Mexico,mexico,mexico,PROPN
City,city,city,PROPN
Acting,acting,act,VERB
conflict,conflict,conflict,NOUN
interest,interest,interest,NOUN
members,members,member,NOUN
regulatory,regulatory,regulatory,ADJ
bodies,bodies,body,NOUN
detour,detour,detour,NOUN
misuse,misuse,misuse,NOUN
public,public,public,ADJ
resources,resources,resource,NOUN
undue,undue,undue,ADJ
hiring,hiring,hiring,NOUN
public,public,public,ADJ
servants,servants,servant,NOUN
Centrally,centrally,centrally,ADV
SFP,sfp,sfp,PROPN
initiated,initiated,initiate,VERB
investigations,investigations,investigation,NOUN
alleged,alleged,alleged,ADJ
administrative,administrative,administrative,ADJ
faults,faults,fault,NOUN
represent,represent,represent,VERB
double,double,double,ADJ
open,open,open,ADJ
investigations,investigations,investigation,NOUN
months,months,month,NOUN
previous,previous,previous,ADJ
administration,administration,administration,NOUN
investigations,investigations,investigation,NOUN
Likewise,likewise,likewise,ADV
sanctions,sanctions,sanction,NOUN
imposed,imposed,impose,VERB
public,public,public,ADJ
servants,servants,servant,NOUN
disabled,disabled,disabled,ADJ
dismisions,dismisions,dismision,NOUN
economic,economic,economic,ADJ
sanctions,sanctions,sanction,NOUN
total,total,total,NOUN
million,million,million,NUM
pesos,pesos,pesos,NOUN
suspensions,suspensions,suspension,NOUN
public,public,public,ADJ
private,private,private,ADJ
banns,banns,banns,ADJ
mainly,mainly,mainly,ADV
administrative,administrative,administrative,ADJ
negligence,negligence,negligence,NOUN
addition,addition,addition,NOUN
penalties,penalties,penalty,NOUN
non,non,non,ADJ
compliance,compliance,compliance,NOUN
patrimonial,patrimonial,patrimonial,ADJ
declaration,declaration,declaration,NOUN
violations,violations,violation,NOUN
recruitment,recruitment,recruitment,NOUN
abuse,abuse,abuse,NOUN
authority,authority,authority,NOUN
audit,audit,audit,NOUN
acts,acts,act,NOUN
concluded,concluded,conclude,VERB
correspond,correspond,correspond,NOUN
visits,visits,visit,NOUN
financial,financial,financial,ADJ
compliance,compliance,compliance,NOUN
inspection,inspection,inspection,NOUN
audits,audits,audit,NOUN
addition,addition,addition,NOUN
acts,acts,act,NOUN
integrated,integrated,integrate,VERB
visits,visits,visit,NOUN
audits,audits,audits,NOUN
follow,follow,follow,NOUN
quality,quality,quality,NOUN
verifications,verifications,verification,NOUN
execution,execution,execution,NOUN
addition,addition,addition,NOUN
external,external,external,ADJ
audits,audits,audits,NOUN
concluded,concluded,conclude,VERB
financial,financial,financial,ADJ
opinions,opinions,opinion,NOUN
incorporated,incorporated,incorporate,VERB
public,public,public,ADJ
account,account,account,NOUN
follow,follow,follow,NOUN
observations,observations,observation,NOUN
concluded,concluded,conclude,VERB
determined,determined,determined,ADJ
state,state,state,NOUN
governments,governments,government,NOUN
observations,observations,observation,NOUN
process,process,process,NOUN
attention,attention,attention,NOUN
represent,represent,represent,VERB
solventing,solventing,solvente,VERB
million,million,million,NUM
pesos,pesos,pesos,NOUN
December,december,december,PROPN
June,june,june,PROPN
determined,determined,determine,VERB
observations,observations,observation,NOUN
governments,governments,government,NOUN
States,states,states,PROPN
carry,carry,carry,VERB
corresponding,corresponding,correspond,VERB
refunds,refunds,refund,NOUN
million,million,million,NUM
pesos,pesos,pesos,NOUN
higher,higher,high,ADJ
elements,elements,element,NOUN
provided,provided,provide,VERB
solved,solved,solve,VERB
Observations,observations,observations,PROPN
million,million,million,NUM
pesos,pesos,peso,NOUN
state,state,state,NOUN
control,control,control,NOUN
bodies,bodies,body,NOUN
accredit,accredit,accredit,VERB
initiation,initiation,initiation,NOUN
administrative,administrative,administrative,ADJ
procedure,procedure,procedure,NOUN
responsible,responsible,responsible,ADJ
public,public,public,ADJ
servants,servants,servant,NOUN
Observations,observations,observation,NOUN
million,million,million,NUM
pesos,pesos,peso,NOUN
state,state,state,NOUN
constraints,constraints,constraint,NOUN
prove,prove,prove,VERB
corresponding,corresponding,corresponding,ADJ
prescription,prescription,prescription,NOUN
opinions,opinions,opinion,NOUN
purpose,purpose,purpose,NOUN
instances,instances,instance,NOUN
asked,asked,ask,VERB
initiate,initiate,initiate,VERB
administrative,administrative,administrative,ADJ
procedures,procedures,procedure,NOUN
identify,identify,identify,VERB
public,public,public,ADJ
servants,servants,servant,NOUN
incurred,incurred,incur,VERB
lack,lack,lack,NOUN
attention,attention,attention,NOUN
observations,observations,observation,NOUN
Observations,observations,observations,PROPN
derived,derived,derive,VERB
audits,audits,audits,NOUN
carried,carried,carry,VERB
million,million,million,NUM
pesos,pesos,pesos,NOUN
projects,projects,project,NOUN
opinions,opinions,opinion,NOUN
available,available,available,ADJ
analyze,analyze,analyze,VERB
Solving,solving,solving,NOUN
presented,presented,present,VERB
state,state,state,NOUN
control,control,control,NOUN
organs,organs,organ,NOUN
regard,regard,regard,NOUN
public,public,public,ADJ
procurement,procurement,procurement,NOUN
implementation,implementation,implementation,NOUN
new,new,new,ADJ
consolidation,consolidation,consolidation,NOUN
policy,policy,policy,NOUN
matter,matter,matter,NOUN
requires,requires,require,VERB
regulatory,regulatory,regulatory,ADJ
regulatory,regulatory,regulatory,ADJ
framework,framework,framework,NOUN
guarantees,guarantees,guarantee,VERB
best,best,good,ADJ
conditions,conditions,condition,NOUN
state,state,state,NOUN
quality,quality,quality,NOUN
time,time,time,NOUN
audit,audit,audit,NOUN
necessary,necessary,necessary,ADJ
accordance,accordance,accordance,NOUN
Irreunciable,irreunciable,irreunciable,ADJ
commitment,commitment,commitment,NOUN
federal,federal,federal,ADJ
government,government,government,NOUN
close,close,close,VERB
spaces,spaces,space,NOUN
corruption,corruption,corruption,NOUN
impunity,impunity,impunity,NOUN
occasion,occasion,occasion,NOUN
certain,certain,certain,ADJ
observations,observations,observation,NOUN
probable,probable,probable,ADJ
damage,damage,damage,NOUN
identified,identified,identify,VERB
million,million,million,NUM
pesos,pesos,pesos,NOUN
order,order,order,NOUN
assume,assume,assume,VERB
active,active,active,ADJ
accompanying,accompanying,accompanying,ADJ
role,role,role,NOUN
executors,executors,executor,NOUN
expenditure,expenditure,expenditure,NOUN
prevent,prevent,prevent,VERB
risks,risks,risk,NOUN
affect,affect,affect,VERB
compliance,compliance,compliance,NOUN
objectives,objectives,objective,NOUN
goals,goals,goal,NOUN
determined,determined,determined,ADJ
carry,carry,carry,VERB
control,control,control,NOUN
visits,visits,visit,NOUN
federal,federal,federal,ADJ
government,government,government,NOUN
strategic,strategic,strategic,ADJ
programs,programs,program,NOUN
relaunching,relaunching,relaunching,NOUN
public,public,public,ADJ
function,function,function,NOUN
dependency,dependency,dependency,NOUN
responsible,responsible,responsible,ADJ
fight,fight,fight,NOUN
corruption,corruption,corruption,NOUN
limited,limited,limit,VERB
improving,improving,improve,VERB
previously,previously,previously,ADV
seeks,seeks,seek,VERB
build,build,build,VERB
institution,institution,institution,NOUN
capable,capable,capable,ADJ
conforming,conforming,conform,VERB
new,new,new,ADJ
public,public,public,ADJ
ethics,ethics,ethic,NOUN
country,country,country,NOUN
achieve,achieve,achieve,VERB
action,action,action,NOUN
plan,plan,plan,NOUN
based,based,base,VERB
axes,axes,axis,NOUN
developed,developed,develop,VERB
Promote,promote,promote,VERB
republican,republican,republican,ADJ
austerity,austerity,austerity,NOUN
Cycondness,cycondness,cycondness,ADJ
combat,combat,combat,NOUN
corruption,corruption,corruption,NOUN
Relain,relain,relain,NOUN
professional,professional,professional,ADJ
career,career,career,NOUN
service,service,service,NOUN
Democratize,democratize,democratize,VERB
technologies,technologies,technology,NOUN
Protect,protect,protect,VERB
complaint,complaint,complaint,NOUN
internal,internal,internal,ADJ
alerters,alerters,alerter,NOUN
Promoting,promoting,promote,VERB
Republican,republican,republican,ADJ
austerity,austerity,austerity,NOUN
Republican,republican,republican,ADJ
austerity,austerity,austerity,NOUN
new,new,new,ADJ
vision,vision,vision,NOUN
seeks,seeks,seek,VERB
eradicate,eradicate,eradicate,VERB
waste,waste,waste,NOUN
reorient,reorient,reorient,NOUN
public,public,public,ADJ
resources,resources,resource,NOUN
integral,integral,integral,ADJ
wellness,wellness,wellness,NOUN
programs,programs,program,NOUN
infrastructure,infrastructure,infrastructure,NOUN
projects,projects,project,NOUN
instrumented,instrumented,instrumented,ADJ
measures,measures,measure,NOUN
affects,affects,affect,VERB
substantive,substantive,substantive,ADJ
operation,operation,operation,NOUN
State,state,state,PROPN
institutions,institutions,institution,NOUN
provision,provision,provision,NOUN
public,public,public,ADJ
services,services,service,NOUN
integral,integral,integral,ADJ
welfare,welfare,welfare,NOUN
programs,programs,program,NOUN
promote,promote,promote,VERB
current,current,current,ADJ
administration,administration,administration,NOUN
affected,affected,affect,VERB
sense,sense,sense,NOUN
budget,budget,budget,NOUN
expenditures,expenditures,expenditure,NOUN
Federation,federation,federation,PROPN
PEF,pef,pef,PROPN
spending,spending,spend,VERB
personal,personal,personal,ADJ
services,services,service,NOUN
reduced,reduced,reduce,VERB
reduction,reduction,reduction,NOUN
number,number,number,NOUN
structure,structure,structure,NOUN
places,places,place,NOUN
decrease,decrease,decrease,NOUN
salaries,salaries,salary,NOUN
salaries,salaries,salary,NOUN
senior,senior,senior,ADJ
officials,officials,official,NOUN
reform,reform,reform,NOUN
Organic,organic,organic,PROPN
Law,law,law,PROPN
Federal,federal,federal,PROPN
Public,public,public,PROPN
Administration,administration,administration,PROPN
published,published,publish,VERB
DOF,dof,dof,PROPN
November,november,november,PROPN
laid,laid,lay,VERB
foundations,foundations,foundation,NOUN
redesign,redesign,redesign,NOUN
structures,structures,structure,NOUN
objective,objective,objective,NOUN
measure,measure,measure,NOUN
eliminate,eliminate,eliminate,VERB
duplicities,duplicities,duplicity,NOUN
merge,merge,merge,VERB
related,related,related,ADJ
areas,areas,area,NOUN
centralizing,centralizing,centralize,VERB
operation,operation,operation,NOUN
single,single,single,ADJ
unit,unit,unit,NOUN
coordination,coordination,coordination,NOUN
order,order,order,NOUN
implement,implement,implement,VERB
changes,changes,change,NOUN
SFP,sfp,sfp,PROPN
Ministry,ministry,ministry,PROPN
Finance,finance,finance,PROPN
Public,public,public,PROPN
Credit,credit,credit,PROPN
SHCP,shcp,shcp,PROPN
issued,issued,issue,VERB
manual,manual,manual,NOUN
public,public,public,ADJ
servants,servants,servant,NOUN
Federal,federal,federal,PROPN
Public,public,public,PROPN
Administration,administration,administration,PROPN
Federal,federal,federal,PROPN
Salary,salary,salary,PROPN
Tab,tab,tab,PROPN
Tabulator,tabulator,tabulator,PROPN
applicable,applicable,applicable,ADJ
President,president,president,PROPN
Republic,republic,republic,PROPN
public,public,public,ADJ
servants,servants,servant,NOUN
APF,apf,apf,PROPN
dependencies,dependencies,dependency,NOUN
entities,entities,entity,NOUN
effect,effect,effect,NOUN
January,january,january,PROPN
established,established,establish,VERB
decrease,decrease,decrease,NOUN
gross,gross,gross,ADJ
perceptions,perceptions,perception,NOUN
following,following,follow,VERB
terms,terms,term,NOUN
salary,salary,salary,NOUN
reduction,reduction,reduction,NOUN
level,level,level,NOUN
position,position,position,NOUN
Federal,federal,federal,PROPN
Public,public,public,PROPN
Administration,administration,administration,PROPN
Percentage,percentage,percentage,PROPN
Change,change,change,PROPN
Position,position,position,PROPN
Level,level,level,PROPN
Salary,salary,salary,PROPN
Reduction,reduction,reduction,PROPN
President,president,president,PROPN
Republic,republic,republic,PROPN
Secretaries,secretaries,secretaries,PROPN
State,state,state,PROPN
Undersecretaries,undersecretaries,undersecretary,NOUN
Heads,heads,head,NOUN
Unit,unit,unit,PROPN
General,general,general,PROPN
Directors,directors,directors,PROPN
General,general,general,PROPN
Directors,directors,directors,PROPN
Attachments,attachments,attachments,PROPN
Austerity,austerity,austerity,PROPN
Policy,policy,policy,PROPN
implies,implies,imply,VERB
prioritizing,prioritizing,prioritize,VERB
substantive,substantive,substantive,ADJ
activities,activities,activity,NOUN
compared,compared,compare,VERB
supportive,supportive,supportive,ADJ
activities,activities,activity,NOUN
Government,government,government,PROPN
initiated,initiated,initiate,VERB
process,process,process,NOUN
reduce,reduce,reduce,VERB
cost,cost,cost,NOUN
support,support,support,NOUN
cabinet,cabinet,cabinet,NOUN
places,places,place,NOUN
adjust,adjust,adjust,VERB
organic,organic,organic,ADJ
structures,structures,structure,NOUN
PEF,pef,pef,PROPN
total,total,total,NOUN
Federal,federal,federal,PROPN
Government,government,government,PROPN
goal,goal,goal,NOUN
returning,returning,return,VERB
command,command,command,NOUN
link,link,link,VERB
link,link,link,VERB
Generate,generate,generate,PROPN
savings,savings,saving,NOUN
million,million,million,NUM
pesos,pesos,pesos,NOUN
June,june,june,PROPN
advance,advance,advance,NOUN
represents,represents,represent,VERB
return,return,return,NOUN
seats,seats,seat,NOUN
saving,saving,saving,NOUN
million,million,million,NUM
pesos,pesos,pesos,NOUN
noted,noted,note,VERB
organizational,organizational,organizational,ADJ
restructuring,restructuring,restructuring,NOUN
affect,affect,affect,VERB
public,public,public,ADJ
servants,servants,servant,NOUN
subject,subject,subject,ADJ
austerity,austerity,austerity,NOUN
measures,measures,measure,NOUN
basic,basic,basic,ADJ
operational,operational,operational,ADJ
similar,similar,similar,ADJ
category,category,category,NOUN
Additionally,additionally,additionally,ADV
Executive,executive,executive,PROPN
Branch,branch,branch,PROPN
promoted,promoted,promote,VERB
approval,approval,approval,NOUN
Republican,republican,republican,PROPN
Austerity,austerity,austerity,PROPN
Law,law,law,PROPN
State,state,state,PROPN
approved,approved,approve,VERB
Chamber,chamber,chamber,PROPN
Deputies,deputies,deputies,PROPN
April,april,april,PROPN
Subsequently,subsequently,subsequently,ADV
Senate,senate,senate,PROPN
Republic,republic,republic,PROPN
approved,approved,approve,VERB
changes,changes,change,NOUN
July,july,july,PROPN
year,year,year,NOUN
proposal,proposal,proposal,NOUN
stages,stages,stage,NOUN
legislative,legislative,legislative,ADJ
process,process,process,NOUN
bill,bill,bill,NOUN
creates,creates,create,VERB
austerity,austerity,austerity,NOUN
policy,policy,policy,NOUN
monitored,monitored,monitor,VERB
evaluated,evaluated,evaluate,VERB
annually,annually,annually,ADV
order,order,order,NOUN
continue,continue,continue,VERB
reduction,reduction,reduction,NOUN
unnecessary,unnecessary,unnecessary,ADJ
costs,costs,cost,NOUN
strengthening,strengthening,strengthening,NOUN
public,public,public,ADJ
sector,sector,sector,NOUN
end,end,end,NOUN
assessment,assessment,assessment,NOUN
committee,committee,committee,NOUN
austerity,austerity,austerity,NOUN
measures,measures,measure,NOUN
annually,annually,annually,ADV
inform,inform,inform,VERB
savings,savings,saving,NOUN
obtained,obtained,obtain,VERB
impact,impact,impact,NOUN
following,following,follow,VERB
measures,measures,measure,NOUN
implemented,implemented,implement,VERB
addition,addition,addition,NOUN
new,new,new,ADJ
law,law,law,NOUN
reiterates,reiterates,reiterate,VERB
acquisitions,acquisitions,acquisition,NOUN
leases,leases,lease,NOUN
services,services,service,NOUN
State,state,state,PROPN
awarded,awarded,award,VERB
public,public,public,ADJ
tenders,tenders,tender,NOUN
adds,adds,add,VERB
exception,exception,exception,NOUN
fully,fully,fully,ADV
justified,justified,justify,VERB
internal,internal,internal,ADJ
control,control,control,NOUN
bodies,bodies,body,NOUN
Superfluous,superfluous,superfluous,ADJ
expenses,expenses,expense,NOUN
eliminated,eliminated,eliminate,VERB
travel,travel,travel,NOUN
meals,meals,meal,NOUN
telephony,telephony,telephony,NOUN
luxury,luxury,luxury,NOUN
automobiles,automobiles,automobile,NOUN
value,value,value,NOUN
units,units,unit,NOUN
measurement,measurement,measurement,NOUN
updating,updating,update,VERB
thousand,thousand,thousand,NUM
pesos,pesos,pesos,NOUN
Consulting,consulting,consulting,NOUN
hired,hired,hire,VERB
services,services,service,NOUN
carried,carried,carry,VERB
workforce,workforce,workforce,NOUN
professional,professional,professional,ADJ
capacity,capacity,capacity,NOUN
public,public,public,ADJ
servants,servants,servant,NOUN
indispensable,indispensable,indispensable,ADJ
fulfillment,fulfillment,fulfillment,NOUN
responsibilities,responsibilities,responsibility,NOUN
Based,based,base,VERB
entry,entry,entry,NOUN
force,force,force,NOUN
law,law,law,NOUN
creation,creation,creation,NOUN
public,public,public,ADJ
trusts,trusts,trust,NOUN
public,public,public,ADJ
mandates,mandates,mandate,NOUN
analogous,analogous,analogous,ADJ
contracts,contracts,contract,NOUN
health,health,health,NOUN
education,education,education,NOUN
procurement,procurement,procurement,NOUN
social,social,social,ADJ
security,security,security,NOUN
public,public,public,ADJ
safety,safety,safety,NOUN
prohibited,prohibited,prohibit,VERB
Additionally,additionally,additionally,ADV
new,new,new,ADJ
law,law,law,NOUN
establishes,establishes,establish,VERB
trusts,trusts,trust,NOUN
exist,exist,exist,VERB
today,today,today,NOUN
normative,normative,normative,ADJ
budgetary,budgetary,budgetary,ADJ
effectiveness,effectiveness,effectiveness,NOUN
effectiveness,effectiveness,effectiveness,NOUN
corresponding,corresponding,correspond,VERB
recommendations,recommendations,recommendation,NOUN
budget,budget,budget,NOUN
expenditures,expenditures,expenditure,NOUN
Federation,federation,federation,PROPN
bill,bill,bill,NOUN
eliminates,eliminates,eliminate,VERB
delegations,delegations,delegation,NOUN
public,public,public,ADJ
entities,entities,entity,NOUN
abroad,abroad,abroad,ADV
corresponding,corresponding,correspond,VERB
areas,areas,area,NOUN
national,national,national,ADJ
security,security,security,NOUN
impartial,impartial,impartial,ADJ
justice,justice,justice,NOUN
prohibits,prohibits,prohibit,VERB
duplication,duplication,duplication,NOUN
functions,functions,function,NOUN
units,units,unit,NOUN
Federal,federal,federal,PROPN
Public,public,public,PROPN
Administration,administration,administration,PROPN
clarified,clarified,clarify,VERB
gender,gender,gender,NOUN
equality,equality,equality,NOUN
units,units,unit,NOUN
constitute,constitute,constitute,VERB
duplicity,duplicity,duplicity,NOUN
Support,support,support,NOUN
personnel,personnel,personnel,NOUN
public,public,public,ADJ
administration,administration,administration,NOUN
limited,limited,limited,ADJ
Particular,particular,particular,PROPN
secretary,secretary,secretary,PROPN
assigned,assigned,assign,VERB
dependency,dependency,dependency,NOUN
entity,entity,entity,NOUN
holders,holders,holder,NOUN
assignment,assignment,assignment,NOUN
driver,driver,driver,NOUN
Subsecretarios,subsecretarios,subsecretarios,PROPN
de,de,de,ADP
Status,status,status,PROPN
Superiors,superiors,superiors,PROPN
allowed,allowed,allow,VERB
holders,holders,holder,NOUN
direct,direct,direct,ADJ
control,control,control,NOUN
entities,entities,entity,NOUN
Squares,squares,square,NOUN
attached,attached,attached,ADJ
general,general,general,ADJ
leadership,leadership,leadership,NOUN
levels,levels,level,NOUN
prohibited,prohibited,prohibit,VERB
exercise,exercise,exercise,VERB
expressly,expressly,expressly,ADV
contemplated,contemplated,contemplate,VERB
law,law,law,NOUN
regulation,regulation,regulation,NOUN
meet,meet,meet,VERB
condition,condition,condition,NOUN
eliminated,eliminated,eliminate,VERB
created,created,create,VERB
Citizen,citizen,citizen,PROPN
combat,combat,combat,NOUN
corruption,corruption,corruption,NOUN
impunity,impunity,impunity,NOUN
restructured,restructured,restructure,VERB
SFP,sfp,sfp,PROPN
new,new,new,ADJ
approach,approach,approach,NOUN
institutional,institutional,institutional,ADJ
integrity,integrity,integrity,NOUN
greater,greater,great,ADJ
citizen,citizen,citizen,NOUN
surveillance,surveillance,surveillance,NOUN
participatory,participatory,participatory,ADJ
culture,culture,culture,NOUN
integrity,integrity,integrity,NOUN
accountability,accountability,accountability,NOUN
auspices,auspices,auspex,NOUN
alerting,alerting,alert,VERB
rights,rights,right,NOUN
activities,activities,activity,NOUN
carried,carried,carry,VERB
December,december,december,PROPN
June,june,june,PROPN
following,following,following,ADJ
stand,stand,stand,NOUN
Guidelines,guidelines,guideline,NOUN
developed,developed,develop,VERB
